tmp_yyh_app.user_id,tmp_yyh_app.appname,t05_yicheapp_user_behaviour_log.remote_addr,t05_yicheapp_user_behaviour_log.cityid,t05_yicheapp_user_behaviour_log.provinceid,t05_yicheapp_user_behaviour_log.time_iso8601,t05_yicheapp_user_behaviour_log.lau,t05_yicheapp_user_behaviour_log.lou,t05_yicheapp_user_behaviour_log.type,t05_yicheapp_user_behaviour_log.logact,t05_yicheapp_user_behaviour_log.v,t05_yicheapp_user_behaviour_log.info,t05_yicheapp_user_behaviour_log.tm,t05_yicheapp_user_behaviour_log.uid,t05_yicheapp_user_behaviour_log.os,t05_yicheapp_user_behaviour_log.acty,t05_yicheapp_user_behaviour_log.bn,t05_yicheapp_user_behaviour_log.osv,t05_yicheapp_user_behaviour_log.dvid,t05_yicheapp_user_behaviour_log.clicktime,t05_yicheapp_user_behaviour_log.flag,t05_yicheapp_user_behaviour_log.id,t05_yicheapp_user_behaviour_log.dk_pos,t05_yicheapp_user_behaviour_log.dk_pop,t05_yicheapp_user_behaviour_log.dk_keys,t05_yicheapp_user_behaviour_log.etl_dt
dvid@@@+3fOxvjixg1sHHbVQMLQhw==,汽车报价大全,27.222.74.116,371400,370000,06:52.1,36.926761,115.921619,useractions,,,,2018/7/14 12:06,21724698,1,12,15,6,dvid@@@+3fOxvjixg1sHHbVQMLQhw==,NULL,NULL,4526,NULL,NULL,NULL,2018/7/14
dvid@@@+3fOxvjixg1sHHbVQMLQhw==,汽车报价大全,27.222.74.116,371400,370000,18:13.7,36.92694,115.921489,useractions,,,,2018/7/13 9:22,21724698,1,12,15,6,dvid@@@+3fOxvjixg1sHHbVQMLQhw==,NULL,NULL,5256,NULL,NULL,NULL,2018/7/13
dvid@@@+3fOxvjixg1sHHbVQMLQhw==,汽车报价大全,27.222.74.116,371400,370000,59:26.0,36.926868,115.921565,useractions,,,,2018/7/13 12:59,21724698,1,1,46,6,dvid@@@+3fOxvjixg1sHHbVQMLQhw==,NULL,NULL,NULL,NULL,NULL,NULL,2018/7/13
dvid@@@+3fOxvjixg1sHHbVQMLQhw==,汽车报价大全,27.222.74.116,371400,370000,10:31.9,36.926898,115.921531,useractions,,,,2018/7/13 0:10,21724698,1,12,25,6,dvid@@@+3fOxvjixg1sHHbVQMLQhw==,NULL,NULL,127404,NULL,NULL,NULL,2018/7/13
dvid@@@+3fOxvjixg1sHHbVQMLQhw==,汽车报价大全,27.221.252.39,371400,370000,42:08.1,36.926729,115.921656,useractions,,,,2018/7/9 22:46,21724698,1,1,48,6,dvid@@@+3fOxvjixg1sHHbVQMLQhw==,NULL,NULL,NULL,NULL,NULL,NULL,2018/7/9
dvid@@@+3fOxvjixg1sHHbVQMLQhw==,汽车报价大全,27.221.252.39,371400,370000,01:27.7,36.926752,115.92165,useractions,,,,2018/7/9 0:00,21724698,1,1,46,6,dvid@@@+3fOxvjixg1sHHbVQMLQhw==,NULL,NULL,NULL,NULL,NULL,NULL,2018/7/9
dvid@@@+3fOxvjixg1sHHbVQMLQhw==,汽车报价大全,27.222.74.116,371400,370000,07:09.5,36.926762,115.921618,useractions,,,,2018/7/14 2:07,21724698,1,12,15,6,dvid@@@+3fOxvjixg1sHHbVQMLQhw==,NULL,NULL,4329,NULL,NULL,NULL,2018/7/14
dvid@@@+3fOxvjixg1sHHbVQMLQhw==,汽车报价大全,27.222.74.116,371400,370000,11:21.7,36.926761,115.921619,useractions,,,,2018/7/14 12:10,21724698,1,1,48,6,dvid@@@+3fOxvjixg1sHHbVQMLQhw==,NULL,NULL,NULL,NULL,NULL,NULL,2018/7/14
dvid@@@+3fOxvjixg1sHHbVQMLQhw==,汽车报价大全,27.222.74.116,371400,370000,10:24.8,36.926762,115.921618,useractions,,,,2018/7/14 2:10,21724698,1,12,14,6,dvid@@@+3fOxvjixg1sHHbVQMLQhw==,NULL,NULL,2149,NULL,NULL,NULL,2018/7/14
dvid@@@+3fOxvjixg1sHHbVQMLQhw==,汽车报价大全,27.222.74.116,371400,370000,06:05.0,36.926762,115.921618,useractions,,,,2018/7/14 2:05,21724698,1,1,46,6,dvid@@@+3fOxvjixg1sHHbVQMLQhw==,NULL,NULL,NULL,NULL,NULL,NULL,2018/7/14
dvid@@@+3fOxvjixg1sHHbVQMLQhw==,汽车报价大全,27.222.74.116,371400,370000,55:37.9,36.926868,115.921565,useractions,,,,2018/7/13 12:55,21724698,1,12,22,6,dvid@@@+3fOxvjixg1sHHbVQMLQhw==,NULL,NULL,125399,NULL,NULL,NULL,2018/7/13
dvid@@@+3fOxvjixg1sHHbVQMLQhw==,汽车报价大全,27.222.74.116,371400,370000,13:28.5,36.926761,115.921619,useractions,,,,2018/7/14 12:17,21724698,1,12,15,6,dvid@@@+3fOxvjixg1sHHbVQMLQhw==,NULL,NULL,4526,NULL,NULL,NULL,2018/7/14
dvid@@@+3fOxvjixg1sHHbVQMLQhw==,汽车报价大全,27.222.74.116,371400,370000,04:19.3,36.926762,115.921618,useractions,,,,2018/7/14 2:08,21724698,1,1,48,6,dvid@@@+3fOxvjixg1sHHbVQMLQhw==,NULL,NULL,NULL,NULL,NULL,NULL,2018/7/14
dvid@@@+3fOxvjixg1sHHbVQMLQhw==,汽车报价大全,27.222.74.116,371400,370000,24:39.1,36.92694,115.921489,useractions,,,,2018/7/13 9:24,21724698,1,1,46,6,dvid@@@+3fOxvjixg1sHHbVQMLQhw==,NULL,NULL,NULL,NULL,NULL,NULL,2018/7/13
dvid@@@+3fOxvjixg1sHHbVQMLQhw==,汽车报价大全,27.222.74.116,371400,370000,26:41.2,36.92694,115.921489,useractions,,,,2018/7/13 9:30,21724698,1,1,47,6,dvid@@@+3fOxvjixg1sHHbVQMLQhw==,NULL,NULL,NULL,NULL,NULL,NULL,2018/7/13
dvid@@@+3fOxvjixg1sHHbVQMLQhw==,汽车报价大全,27.222.74.116,371400,370000,54:51.8,36.926868,115.921565,useractions,,,,2018/7/13 12:54,21724698,1,12,15,6,dvid@@@+3fOxvjixg1sHHbVQMLQhw==,NULL,NULL,4447,NULL,NULL,NULL,2018/7/13
dvid@@@+3fOxvjixg1sHHbVQMLQhw==,汽车报价大全,27.222.74.116,371400,370000,30:45.1,36.92694,115.921489,useractions,,,,2018/7/13 9:30,21724698,1,12,15,6,dvid@@@+3fOxvjixg1sHHbVQMLQhw==,NULL,NULL,4881,NULL,NULL,NULL,2018/7/13
dvid@@@+3fOxvjixg1sHHbVQMLQhw==,汽车报价大全,27.222.74.116,371400,370000,21:35.0,36.92694,115.921489,useractions,,,,2018/7/13 9:21,21724698,1,12,20,6,dvid@@@+3fOxvjixg1sHHbVQMLQhw==,NULL,NULL,4881,NULL,NULL,NULL,2018/7/13
dvid@@@+3fOxvjixg1sHHbVQMLQhw==,汽车报价大全,27.222.74.116,371400,370000,23:59.1,36.92694,115.921489,useractions,,,,2018/7/13 9:23,21724698,1,1,48,6,dvid@@@+3fOxvjixg1sHHbVQMLQhw==,NULL,NULL,NULL,NULL,NULL,NULL,2018/7/13
dvid@@@+3fOxvjixg1sHHbVQMLQhw==,汽车报价大全,27.222.74.116,371400,370000,57:58.5,36.926923,115.921512,useractions,,,,2018/7/11 13:57,30040088,1,1,48,6,dvid@@@+3fOxvjixg1sHHbVQMLQhw==,NULL,NULL,NULL,NULL,NULL,NULL,2018/7/11
dvid@@@+3fOxvjixg1sHHbVQMLQhw==,汽车报价大全,27.222.74.116,371400,370000,18:13.7,36.92694,115.921489,useractions,,,,2018/7/13 9:22,21724698,1,1,47,6,dvid@@@+3fOxvjixg1sHHbVQMLQhw==,NULL,NULL,NULL,NULL,NULL,NULL,2018/7/13
dvid@@@+3fOxvjixg1sHHbVQMLQhw==,汽车报价大全,27.222.74.116,371400,370000,24:39.1,36.92694,115.921489,useractions,,,,2018/7/13 9:24,21724698,1,12,15,6,dvid@@@+3fOxvjixg1sHHbVQMLQhw==,NULL,NULL,4866,NULL,NULL,NULL,2018/7/13
dvid@@@+3fOxvjixg1sHHbVQMLQhw==,汽车报价大全,27.222.74.116,371400,370000,36:31.8,36.926931,115.921503,useractions,,,,2018/7/13 2:39,21724698,1,1,48,6,dvid@@@+3fOxvjixg1sHHbVQMLQhw==,NULL,NULL,NULL,NULL,NULL,NULL,2018/7/13
dvid@@@+3fOxvjixg1sHHbVQMLQhw==,汽车报价大全,27.222.74.116,371400,370000,36:31.8,36.926931,115.921503,useractions,,,,2018/7/13 2:39,21724698,1,12,15,6,dvid@@@+3fOxvjixg1sHHbVQMLQhw==,NULL,NULL,2045,NULL,NULL,NULL,2018/7/13
dvid@@@+3fOxvjixg1sHHbVQMLQhw==,汽车报价大全,27.222.74.116,371400,370000,08:16.9,36.926761,115.921619,useractions,,,,2018/7/14 12:07,21724698,1,12,25,6,dvid@@@+3fOxvjixg1sHHbVQMLQhw==,NULL,NULL,126085,NULL,NULL,NULL,2018/7/14
dvid@@@+3fOxvjixg1sHHbVQMLQhw==,汽车报价大全,27.222.74.116,371400,370000,41:23.3,36.926931,115.921503,useractions,,,,2018/7/13 2:41,21724698,1,12,25,6,dvid@@@+3fOxvjixg1sHHbVQMLQhw==,NULL,NULL,128293,NULL,NULL,NULL,2018/7/13
